"Titre","Chaîne / Troupe","Type","Nature","Catégorie","Thème","Durée","Notes","URL vidéo","Langue","Statut","Créé le","Approuvé le"
"[Teaser Spectacle] La Doublure","Improvidence","spectacle",,,,,"Teaser — solo improvisé inspiré d'une personne du public, par Christophe Bouquet","https://www.youtube.com/watch?v=ggSILbgVNa8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser] C'est ici que ça se passe","Improvidence","spectacle",,,,,"Teaser — spectacle improvisé interactif basé sur les anecdotes du public","https://www.youtube.com/watch?v=JyfcPJbPWTo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser spectacle] Scènes de Crime","Improvidence","spectacle",,,"Polar / enquête",,"Teaser — spectacle improvisé policier façon Thomson et Thompson","https://www.youtube.com/watch?v=kHh0P72wSk4","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser] Spectacle - Ex Nihilo","Improvidence","spectacle",,,,,"Teaser — spectacle improvisé Ex Nihilo : 2 comédiens et 1 musicien partent de rien","https://www.youtube.com/watch?v=x5vICbvL8Gw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Spectacle] Je vous jure c'est de l'impro ! Teaser","Improvidence","spectacle",,,,,"Teaser — spectacle dominical à l'Improvidence","https://www.youtube.com/watch?v=USkI4RI4TLw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LA DOUBLURE","Improvidence","spectacle",,,,,"Spectacle improvisé « La Doublure » — Christophe Bouquet (Philippe Cardon)","https://www.youtube.com/watch?v=_5mfgDmHqoo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"FAITES NOUS CONFIANCE","Improvidence","spectacle",,,,,"Spectacle improvisé « Faites-nous confiance » — Thierry Bilisko & Fabien Strobel","https://www.youtube.com/watch?v=z47dfpBFo8c","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Extrait spectacle] Familia Mea","Improvidence","spectacle",,,"Couple / famille",,"Extrait du spectacle improvisé « Familia Mea » — Improvidence","https://www.youtube.com/watch?v=2-wp9hLDo1Q","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Comédie Musicale improvisée avec Antoine Lefort","Improvidence","tutoriel",,"chantee",,,"Présentation d'un stage de comédie musicale improvisée à l'Improvidence","https://www.youtube.com/watch?v=_bFzjeixONA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser spectacle] Catch Impro","Improvidence","match_impro",,,,,"Concept Catch Impro — deux duos s'affrontent sous l'arbitrage FICI","https://www.youtube.com/watch?v=4K4jiiedtc0","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser] Mon Pote","Improvidence","spectacle",,,,,"Teaser — spectacle « Mon Pote » par l'Équipe Bis à l'Improvidence","https://www.youtube.com/watch?v=WDBy5Zggzc8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser] C'est l'histoire d'un homme...","Improvidence","spectacle",,,,,"Teaser d'un spectacle improvisé Improvidence","https://www.youtube.com/watch?v=HAbkm-_Cas8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser spectacle ] Pirates ! Contes improvisés","Improvidence","spectacle",,,"Pirates",,"Teaser — spectacle jeune public « Pirates ! » par la Cie Hic & Nunc","https://www.youtube.com/watch?v=csrMYwvFHXI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser Spectacle] Frichti","Improvidence","spectacle",,,,,"Teaser — « Frichti d'impro », spectacle interactif avec 50 contraintes","https://www.youtube.com/watch?v=CPSVpLJiB2A","fr","approved","2026-05-20T12:26:16.867802+00:00",
"reportage France 3 Théâtre Improvidence Impronlive","Improvidence","documentaire",,,,,"Reportage France 3 sur le Théâtre Improvidence et ImprOnLive","https://www.youtube.com/watch?v=oiZPUfmvHJs","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser] Le dernier show avant la fin du monde - Spectacle en live streaming","Improvidence","spectacle",,,"Fin du monde",,"Teaser ImprOnLive — spectacle en live streaming hebdomadaire","https://www.youtube.com/watch?v=t9WLmfhdyFk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Catégorie sans parole","Théâtre Improvisation","match_impro",,"sans_paroles",,,"Démonstration de la catégorie « sans parole » en impro","https://www.youtube.com/watch?v=bjCyNgVXTaI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Catégorie Doublage","Théâtre Improvisation","match_impro",,"doublee",,,"Catégorie « doublage » — match LIPAIX (Aix) vs LOLITA (Strasbourg)","https://www.youtube.com/watch?v=_cguuwfqYLo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"L'improvisation théâtrale, une révélation pour Jamel Debbouze !","Théâtre Improvisation","documentaire",,,,,"Interview — Jamel Debbouze raconte sa découverte de l'impro","https://www.youtube.com/watch?v=dxmu8sC9I1Q","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Comment l'improvisation a sauvé la vie de Jamel Debbouze","Théâtre Improvisation","documentaire",,,,,"Interview — Jamel Debbouze sur le rôle de l'impro dans sa vie","https://www.youtube.com/watch?v=tWaBz-Pnu6M","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 12","Théâtre Improvisation","match_impro",,,,,"Match 12 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=vP4itCb-FiU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Spectacle d'improvisation avec le FBI","Théâtre Improvisation","spectacle",,,,,"Spectacle d'impro de la Fédération Biterroise d'Improvisation (FBI)","https://www.youtube.com/watch?v=6L9PkOuxnAY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improspectus   Théatre d'improvisation","Théâtre Improvisation","spectacle",,,,,"Spectacle des Improspectus — Maison Pour Tous Voltaire, Montpellier (2012)","https://www.youtube.com/watch?v=xg9E9QviVvc","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 11","Théâtre Improvisation","match_impro",,,,,"Match 11 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=_peLWjiGxOQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Impropolis 2013:   Improspectus vs Lolita","Théâtre Improvisation","match_impro",,,,,"Festival Impropolis 2013 — match Improspectus vs Lolita","https://www.youtube.com/watch?v=sWCafKxbghs","fr","approved","2026-05-20T12:26:16.867802+00:00",
"La Lolita  -  Théâtre d'Improvisation à Strasbourg: c'est quoi ?","Théâtre Improvisation","documentaire",,,,,"Présentation de la LOLITA, ligue d'impro de Strasbourg fondée en 1993","https://www.youtube.com/watch?v=YpNLYxx0Lqg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 10","Théâtre Improvisation","match_impro",,,,,"Match 10 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=_b_poDo--Qk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 9","Théâtre Improvisation","match_impro",,,,,"Match 9 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=jwi-rLHLrfA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Cabaret d'impro à l'Espace des Possibles.","Théâtre Improvisation","spectacle",,,,,"Spectacle d'impro à l'Espace des Possibles (août 2021)","https://www.youtube.com/watch?v=q5dQGIv-hto","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Le théâtre d'impro. avec la LINA","Théâtre Improvisation","documentaire",,,,,"Présentation de la LINA — théâtre d'impro","https://www.youtube.com/watch?v=aMfdLOfY6Kg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Finale du trophée d'impro Culture & Diversité","Théâtre Improvisation","match_impro",,,,,"Finale du Trophée d'Impro Culture & Diversité à la Comédie-Française","https://www.youtube.com/watch?v=ZCif1YoOQDA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 8","Théâtre Improvisation","match_impro",,,,,"Match 8 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=LJXPcRRvmgE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 7","Théâtre Improvisation","match_impro",,,,,"Match 7 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=UDuy-Qr5OJE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 6","Théâtre Improvisation","match_impro",,,,,"Match 6 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=wWVTWbPzQnk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro l'Engrenage   saison 1   match 5","Théâtre Improvisation","match_impro",,,,,"Match 5 — Ligue d'impro l'Engrenage à La Factrie","https://www.youtube.com/watch?v=53eOb2vkNyA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les déglingués","Théâtre Improvisation","spectacle",,,,,"Premier spectacle de la troupe « Improvisons à Rêves en Saône »","https://www.youtube.com/watch?v=kYGBb-e611w","fr","approved","2026-05-20T12:26:16.867802+00:00",
